Station,Latitude,Longitude,Cluster,CurrentInventory,OptimalInventory,InventoryDiff,BCRF
5,40.7482,-73.8794,1,3,16,-13,0.000571718
8,40.7028,-73.9333,1,16,8,8,0.000574625
11,40.7584,-73.8953,1,18,10,8,0.000944417
13,40.7256,-73.9443,1,46,38,8,0.000863125
14,40.7625,-73.9025,1,3,6,-3,0.000882778
18,40.7069,-73.9285,1,16,9,7,0.000595143
32,40.6906,-73.9575,1,10,5,5,0.000500333
38,40.6886,-73.9123,1,10,11,-1,0.0002645
43,40.7183,-73.9013,1,17,17,0,0
46,40.7368,-73.8732,1,19,17,2,0.000295083
47,40.7552,-73.9486,1,20,2,18,0.00103228
49,40.7533,-73.9434,1,1,6,-5,0.00198367
51,40.653,-73.946,1,6,2,4,0.000611917
53,40.7188,-73.9395,1,10,4,6,0.000443611
57,40.7011,-73.9142,1,9,17,-8,0.000979
68,40.7443,-73.926,1,5,20,-15,0.000728578
69,40.753,-73.8727,1,0,20,-20,0.000873367
78,40.7132,-73.9389,1,16,11,5,0.001439
81,40.7462,-73.8719,1,2,19,-17,0.000741598
87,40.7343,-73.9837,1,10,4,6,0.000549444
88,40.7446,-73.8739,1,1,17,-16,0.00109282
94,40.693,-73.9082,1,5,15,-10,0.000896533
97,40.7461,-73.8527,1,25,19,6,0.000284306
104,40.7473,-73.912,1,6,10,-4,0.000171667
106,40.7424,-73.9181,1,4,14,-10,0.00066165
114,40.6742,-73.9166,1,13,17,-4,0.000576833
117,40.6792,-73.9259,1,14,10,4,0.000310583
118,40.7436,-73.8862,1,6,4,2,0.000424333
120,40.7468,-73.9089,1,10,17,-7,0.000913643
122,40.78,-73.9067,1,9,1,8,0.00105388
124,40.6968,-73.9376,1,16,13,3,0.000267778
128,40.7645,-73.9046,1,14,8,6,0.000423806
134,40.6582,-73.9338,1,16,14,2,0.0001735
137,40.7524,-73.8672,1,6,19,-13,0.000815833
138,40.701,-73.9392,1,29,19,10,0.0023545
141,40.6787,-73.9111,1,15,13,2,0.00021425
143,40.6978,-73.9262,1,16,19,-3,0.000462222
144,40.7526,-73.9728,1,4,3,1,0.000281667
148,40.7518,-73.8857,1,4,21,-17,0.000813333
150,40.7749,-73.9342,1,16,15,1,0.000122833
154,40.7576,-73.8868,1,10,14,-4,0.000197625
155,40.7126,-73.9606,1,21,16,5,0.000321333
158,40.6968,-73.923,1,18,21,-3,0.000663333
163,40.7554,-73.9115,1,7,1,6,0.000525444
164,40.7298,-73.9484,1,38,3,35,0.00110738
165,40.702,-73.8929,1,11,16,-5,0.000677833
166,40.7471,-73.9028,1,9,7,2,0.000659167
171,40.7392,-73.8526,1,13,15,-2,0.0001175
174,40.7419,-73.9091,1,1,12,-11,0.000892136
181,40.753,-73.8924,1,16,18,-2,0.000315417
185,40.7579,-73.8576,1,1,3,-2,0.000652667
187,40.698,-73.9127,1,2,4,-2,0.000471333
190,40.7134,-73.9491,1,10,10,0,0
191,40.6797,-73.9347,1,8,6,2,0.000188167
194,40.7435,-73.9186,1,7,12,-5,0.000447
198,40.7392,-73.8689,1,18,18,0,0
200,40.7426,-73.903,1,5,14,-9,0.000950833
202,40.754,-73.8689,1,2,20,-18,0.00113359
209,40.748,-73.9467,1,16,8,8,0.000708333
212,40.7516,-73.8591,1,7,9,-2,0.000138167
214,40.7472,-73.9433,1,11,13,-2,0.000204167
217,40.7409,-73.8677,1,13,15,-2,0.000178917
218,40.6857,-73.9156,1,11,3,8,0.00125452
221,40.6527,-73.9499,1,22,13,9,0.00129857
222,40.7092,-73.9606,1,12,4,8,0.000717083
223,40.7631,-73.8772,1,15,14,1,3.2e-05
228,40.6792,-73.9219,1,10,8,2,0.000174
233,40.7097,-73.9079,1,4,8,-4,0.000549583
237,40.7418,-73.8956,1,12,14,-2,0.000499833
243,40.7251,-73.9752,1,26,20,6,0.00155611
244,40.7441,-73.929,1,1,2,-1,0.00096
245,40.6613,-73.9609,1,12,4,8,0.00100729
247,40.6891,-73.9051,1,24,9,15,0.000777111
250,40.7041,-73.9074,1,6,14,-8,0.000621667
261,40.7537,-73.886,1,7,17,-10,0.000348833
264,40.7192,-73.9489,1,35,5,30,0.000445889
266,40.7411,-73.9425,1,3,1,2,0.000233333
267,40.7541,-73.9195,1,18,19,-1,0.0001985
273,40.7237,-73.9046,1,12,6,6,0.000662167
282,40.7123,-73.894,1,10,23,-13,0.00090059
283,40.6762,-73.9035,1,0,6,-6,0.000906667
287,40.6507,-73.9499,1,24,10,14,0.00107556
288,40.77,-73.982,1,17,7,10,0.0009775
290,40.7524,-73.9254,1,4,17,-13,0.000544167
299,40.7261,-73.9092,1,11,8,3,0.000259778
305,40.7378,-73.9302,1,7,7,0,0
309,40.7456,-73.924,1,0,16,-16,0.00123292
310,40.7338,-73.9805,1,45,41,4,0.0002725
317,40.7683,-73.8733,1,17,2,15,0.000849778
320,40.6732,-73.9108,1,12,14,-2,7.01667e-05
323,40.754,-73.8575,1,18,14,4,0.000172042
324,40.7125,-73.9187,1,16,14,2,0.00022375
327,40.7,-73.9283,1,22,15,7,0.00357095
328,40.7654,-73.8826,1,19,1,18,0.000827
329,40.6972,-73.8981,1,10,19,-9,0.00124663
331,40.6931,-73.9431,1,13,11,2,0.0002175
332,40.7356,-73.9528,1,38,24,14,0.00183714
335,40.754,-73.862,1,17,15,2,0.000668083
336,40.7179,-73.9085,1,20,21,-1,0.0468045
337,40.7659,-73.8779,1,12,7,5,0.000229467
338,40.7366,-73.9929,1,10,8,2,7.75e-05
340,40.6975,-73.9359,1,12,9,3,0.000485556
341,40.6952,-73.9031,1,0,6,-6,0.00312028
344,40.6767,-73.9305,1,6,8,-2,0.000195
355,40.744,-73.8678,1,8,10,-2,6.63333e-05
359,40.7465,-73.88,1,1,17,-16,0.000979094
362,40.7754,-73.948,1,30,26,4,0.000484583
363,40.7547,-73.9337,1,7,10,-3,0.000390889
367,40.7552,-73.8467,1,10,5,5,0.000267
372,40.7433,-73.899,1,2,16,-14,0.000828786
376,40.6997,-73.9022,1,11,19,-8,0.000847292
377,40.6795,-73.9047,1,20,16,4,0.000182917
379,40.7011,-73.9304,1,12,13,-1,0.00044
381,40.6883,-73.9331,1,12,15,-3,0.000423889
387,40.7352,-73.9549,1,31,28,3,0.000675
389,40.7595,-73.8843,1,14,17,-3,0.000353889
393,40.6756,-73.9415,1,7,6,1,3e-05
394,40.764,-73.8669,1,13,14,-1,0.000182333
395,40.7536,-73.938,1,1,11,-10,0.000755017
396,40.7017,-73.9275,1,19,19,0,0
400,40.7581,-73.9243,1,13,17,-4,0.000258583
403,40.7508,-73.9783,1,10,7,3,0.00015
410,40.7005,-73.8943,1,6,13,-7,0.000837833
414,40.6992,-73.8979,1,1,16,-15,0.000895278
416,40.7508,-73.8751,1,2,9,-7,0.0005195
417,40.7452,-73.9473,1,14,3,11,0.000636667
418,40.6849,-73.9293,1,11,12,-1,0.000285
419,40.7028,-73.9532,1,17,1,16,0.00063151
421,40.7049,-73.9199,1,21,13,8,0.000533021
424,40.6803,-73.9558,1,15,4,11,0.00104515
426,40.6622,-73.9429,1,20,12,8,0.00174438
427,40.741,-73.986,1,7,5,2,0.000899167
432,40.6986,-73.9413,1,7,1,6,0.000821389
433,40.7665,-73.8867,1,17,1,16,0.00100282
439,40.7581,-73.9098,1,7,17,-10,0.0012775
444,40.7373,-73.9924,1,26,22,4,0.000142083
445,40.7557,-73.9237,1,21,13,8,0.000855208
451,40.6815,-73.9142,1,4,13,-9,0.000733648
453,40.7312,-73.9516,1,19,15,4,0.00139017
454,40.6699,-73.92,1,10,14,-4,0.000230417
456,40.7658,-73.9265,1,11,11,0,0
462,40.6555,-73.9497,1,16,12,4,0.000200792
467,40.7771,-73.9024,1,20,1,19,0.00108882
473,40.7431,-73.8572,1,16,18,-2,0.000607333
474,40.7192,-73.9124,1,3,1,2,0.0006575
476,40.7354,-73.988,1,34,26,8,0.000294375
477,40.693,-73.9487,1,18,13,5,0.00259533
478,40.7051,-73.9441,1,20,18,2,0.0008925
479,40.703,-73.93,1,17,15,2,0.00114883
490,40.7135,-73.946,1,21,21,0,0
494,40.7571,-73.8722,1,3,19,-16,0.000730615
498,40.7484,-73.907,1,3,17,-14,0.000883464
503,40.7162,-73.9826,1,30,28,2,0.000478333
508,40.7591,-73.9592,1,14,8,6,0.000479167
510,40.7102,-73.9373,1,22,9,13,0.000892179
519,40.7489,-73.909,1,5,17,-12,0.00106349
520,40.6913,-73.9452,1,16,13,3,0.001175
521,40.7089,-73.9018,1,1,18,-17,0.000795392
522,40.7189,-73.9143,1,5,2,3,0.000527167
525,40.7035,-73.9178,1,9,12,-3,0.0005
526,40.7779,-73.946,1,19,11,8,0.000683125
529,40.7399,-73.924,1,5,12,-7,0.000496905
540,40.755,-73.889,1,9,30,-21,0.000529524
542,40.7383,-73.8791,1,24,22,2,-0.00888458
546,40.7542,-73.9089,1,14,13,1,1.38333e-05
547,40.6804,-73.9284,1,5,4,1,0.000428333
549,40.6938,-73.9097,1,4,10,-6,0.000271944
553,40.6934,-73.9006,1,11,12,-1,0.000311667
554,40.733,-73.871,1,25,20,5,0.000522367
556,40.6501,-73.96,1,21,19,2,0.000325417
558,40.7492,-73.8705,1,0,3,-3,0.00219772
563,40.7754,-73.9001,1,15,10,5,0.0005757
565,40.7216,-73.903,1,4,12,-8,0.000488646
566,40.7579,-73.884,1,8,16,-8,0.000632771
567,40.7347,-73.865,1,19,3,16,0.000861604
572,40.6986,-73.9189,1,28,4,24,0.000802368
573,40.729,-73.9012,1,11,16,-5,0.000305367
574,40.7153,-73.9387,1,22,19,3,0.000793333
575,40.6967,-73.9281,1,15,18,-3,0.000528667
577,40.7428,-73.9321,1,10,3,7,0.000527095
579,40.6449,-73.9549,1,23,20,3,0.0016115
583,40.7548,-73.8549,1,26,19,7,0.000307786
591,40.7652,-73.8648,1,16,6,10,0.000631217
593,40.7634,-73.9141,1,4,4,0,0
594,40.6996,-73.9471,1,4,3,1,0.00049
595,40.7055,-73.9096,1,3,10,-7,0.00079119
596,40.6632,-73.9508,1,10,7,3,0.000235
600,40.6794,-73.9299,1,5,5,0,0
603,40.7423,-73.9541,1,6,6,0,0
604,40.7357,-73.9348,1,14,6,8,0.000623521
608,40.6518,-73.9313,1,19,1,18,0.00103021
609,40.7151,-73.9445,1,11,6,5,0.000681667
614,40.7133,-73.9157,1,16,4,12,0.00101437
617,40.7621,-73.9252,1,4,4,0,0
620,40.7007,-73.9074,1,3,5,-2,0.000595083
621,40.6428,-73.9792,1,10,6,4,0.000243917
624,40.6693,-73.9368,1,11,7,4,0.000261792
625,40.7511,-73.9407,1,0,21,-21,0.00142921
627,40.7431,-73.8547,1,13,31,-18,0.000648907
628,40.6954,-73.9196,1,5,10,-5,0.000316333
633,40.7702,-73.8759,1,15,3,12,0.00164401
635,40.6904,-73.9277,1,7,13,-6,0.0005675
636,40.7388,-73.9034,1,16,11,5,0.000523067
642,40.7602,-73.9849,1,22,14,8,0.000702083
655,40.7524,-73.9297,1,3,10,-7,0.000538786
662,40.7531,-73.9206,1,23,7,16,0.000560167
669,40.7031,-73.8955,1,2,23,-21,0.00119637
670,40.6981,-73.909,1,2,19,-17,0.000912451
680,40.705,-73.8996,1,1,13,-12,0.00111914
685,40.7298,-73.9591,1,33,28,5,0.00192967
687,40.7442,-73.8619,1,17,18,-1,0.000141333
688,40.7642,-73.9158,1,2,4,-2,0.00106
689,40.6802,-73.9114,1,6,7,-1,7.33333e-05
691,40.6774,-73.9083,1,9,8,1,0.0001655
692,40.6837,-73.9261,1,10,14,-4,0.000741667
695,40.7602,-73.9363,1,11,8,3,0.000427222
697,40.7494,-73.8974,1,7,3,4,0.00057075
705,40.7409,-73.9171,1,1,14,-13,0.000769936
707,40.6785,-73.9164,1,2,13,-11,0.000643939
709,40.7542,-73.9003,1,19,10,9,0.000342056
710,40.7119,-73.944,1,19,16,3,0.000358333
713,40.7462,-73.9162,1,7,19,-12,0.000815139
714,40.7469,-73.8965,1,4,4,0,0
715,40.7235,-73.8997,1,13,17,-4,0.000406167
717,40.7381,-73.9549,1,26,27,-1,0.000285
719,40.7323,-73.9551,1,44,44,0,0
723,40.7445,-73.8811,1,6,21,-15,0.000875689
724,40.7191,-73.9422,1,18,16,2,0.000525
728,40.7027,-73.921,1,23,23,0,0
730,40.7742,-73.9127,1,9,6,3,0.000568333
731,40.7641,-73.9107,1,13,12,1,4e-05
736,40.7045,-73.9351,1,12,6,6,0.000559167
742,40.7167,-73.9364,1,25,2,23,-0.00288325
746,40.7567,-73.8959,1,14,15,-1,0.000351167
751,40.7387,-73.9409,1,10,3,7,0.000642857
754,40.654,-73.9297,1,18,11,7,0.000524452
755,40.7193,-73.945,1,21,24,-3,0.000816111
756,40.6579,-73.9474,1,18,12,6,0.00122656
757,40.7039,-73.8912,1,17,18,-1,0.000211833
760,40.7322,-73.9438,1,11,0,11,0.00103409
762,40.6866,-73.9168,1,1,21,-20,0.000926975
769,40.7445,-73.8652,1,5,4,1,9.23333e-05
780,40.7565,-73.9296,1,5,10,-5,0.000347
785,40.7271,-73.953,1,26,17,9,0.00266056
789,40.7058,-73.8968,1,5,7,-2,0.000336083
792,40.7007,-73.8991,1,4,24,-20,0.000915167
793,40.7634,-73.9286,1,12,11,1,3e-05
795,40.7144,-73.9141,1,16,10,6,0.000533472
797,40.752,-73.8999,1,21,20,1,0.000526667
802,40.7595,-73.8649,1,1,18,-17,0.00113838
804,40.7258,-73.9508,1,24,16,8,0.000652917
806,40.7379,-73.9226,1,10,10,0,0
813,40.6934,-73.9399,1,14,9,5,0.00157867
816,40.75,-73.8806,1,3,18,-15,0.000930978
817,40.7577,-73.9166,1,6,21,-15,0.000849467
821,40.6814,-73.9076,1,0,14,-14,0.00121733
824,40.7429,-73.8928,1,1,15,-14,0.000774893
825,40.757,-73.8924,1,17,17,0,0
827,40.7069,-73.9063,1,5,15,-10,0.000844167
832,40.7072,-73.9358,1,22,5,17,0.000995059
838,40.6757,-73.914,1,9,17,-8,0.00050775
841,40.7455,-73.9099,1,10,13,-3,0.000313056
844,40.7471,-73.9498,1,12,7,5,0.0005381
847,40.6725,-73.9364,1,8,3,5,0.0005042
854,40.6955,-73.9116,1,3,22,-19,0.000840877
856,40.7373,-73.8641,1,13,18,-5,0.00141053
857,40.6845,-73.9201,1,3,9,-6,0.000680833
859,40.6427,-73.961,1,20,19,1,5.5e-05
862,40.7564,-73.875,1,13,21,-8,0.000647813
865,40.7488,-73.8945,1,4,3,1,4.9e-05
868,40.7327,-73.9583,1,29,28,1,1.5e-05
874,40.6571,-73.9501,1,17,2,15,0.000440744
880,40.7408,-73.9315,1,7,1,6,0.000438194
881,40.7672,-73.9374,1,25,2,23,0.00101635
883,40.7314,-73.9829,1,27,23,4,0.00068625
884,40.6752,-73.9061,1,9,16,-7,0.000604595
886,40.6881,-73.9269,1,5,5,0,0
890,40.7472,-73.8868,1,1,3,-2,0.000870417
892,40.6424,-73.9695,1,20,19,1,0.000434
893,40.7611,-73.917,1,12,14,-2,9.41667e-05
900,40.7444,-73.9317,1,3,14,-11,0.000730455
902,40.7245,-73.9819,1,81,76,5,0.000397333
903,40.7399,-73.8601,1,14,18,-4,0.000530583
907,40.7147,-73.9574,1,18,8,10,0.000936333
911,40.7584,-73.8782,1,17,12,5,0.00164617
912,40.6688,-73.9338,1,3,2,1,0.000341167
913,40.7647,-73.888,1,18,16,2,0.000439083
915,40.7464,-73.8832,1,0,20,-20,0.00146797
917,40.7578,-73.8489,1,14,1,13,0.000449462
920,40.7531,-73.928,1,5,9,-4,0.000331958
923,40.7497,-73.9521,1,33,3,30,0.00113351
924,40.6731,-73.9139,1,6,5,1,4.1e-05
930,40.6828,-73.9349,1,10,9,1,7.16667e-05
934,40.6623,-73.9376,1,19,13,6,0.000437056
937,40.7505,-73.8672,1,3,2,1,0.000182
938,40.7591,-73.919,1,14,8,6,0.000682778
940,40.6994,-73.9134,1,1,8,-7,0.00269145
941,40.6595,-73.9504,1,15,14,1,6e-05
942,40.741,-73.8536,1,3,18,-15,0.000737111
943,40.7627,-73.993,1,31,29,2,0.0001825
946,40.7435,-73.9244,1,1,13,-12,0.00139889
952,40.751,-73.938,1,0,6,-6,0.00260806
954,40.7445,-73.8976,1,11,3,8,0.000783833
955,40.7498,-73.8616,1,1,8,-7,0.0028919
957,40.7258,-73.9417,1,21,20,1,0.000256667
958,40.7458,-73.8643,1,14,3,11,0.000868318
960,40.7266,-73.9032,1,15,14,1,7.83333e-06
967,40.692,-73.9326,1,15,15,0,0
969,40.7315,-73.9002,1,10,17,-7,0.000847143
973,40.7476,-73.9788,1,8,4,4,0.00081875
974,40.7495,-73.9026,1,15,14,1,7.78333e-05
975,40.7633,-73.884,1,17,18,-1,3.91667e-05
977,40.7143,-73.9332,1,19,10,9,0.000353148
979,40.7093,-73.8944,1,5,19,-14,0.000778964
982,40.7054,-73.9253,1,12,7,5,0.000436567
992,40.7297,-73.9866,1,34,32,2,0.0004275
998,40.6849,-73.9149,1,6,19,-13,0.000921974
999,40.724,-73.9498,1,28,18,10,0.00026
1006,40.6936,-73.9252,1,21,14,7,0.00156452
1010,40.7596,-73.9143,1,18,11,7,0.00145376
1013,40.6966,-73.9006,1,10,15,-5,0.000553667
1014,40.6882,-73.9197,1,8,11,-3,0.000341111
1016,40.6981,-73.9027,1,14,17,-3,0.000370722
1019,40.6814,-73.9257,1,11,15,-4,0.000625583
1020,40.7529,-73.8754,1,4,23,-19,0.000883667
1022,40.7492,-73.9494,1,15,3,12,0.000893333
1024,40.7576,-73.8645,1,10,17,-7,0.000926286
1025,40.7339,-73.9013,1,16,18,-2,0.000677833
1031,40.7248,-73.9475,1,43,39,4,0.000492917
1034,40.7495,-73.8546,1,7,9,-2,0.000178417
1036,40.6705,-73.9308,1,18,14,4,0.000739542
1039,40.7548,-73.917,1,4,20,-16,0.000903135
1044,40.7256,-73.9042,1,18,13,5,0.000352867
1045,40.7122,-73.8911,1,23,11,12,0.000616236
1046,40.6899,-73.9146,1,14,6,8,0.00154479
1063,40.6785,-73.9137,1,13,13,0,0
1067,40.7534,-73.9124,1,12,9,3,0.000411444
1074,40.7177,-73.9405,1,13,15,-2,0.000643333
1079,40.734,-73.952,1,18,3,15,0.000659122
1082,40.7611,-73.8863,1,15,15,0,0
1085,40.7233,-73.9431,1,51,28,23,0.00259543
1090,40.7448,-73.9173,1,2,30,-28,0.00113478
1093,40.7455,-73.906,1,3,3,0,0
1108,40.7367,-73.8773,1,21,5,16,0.000980323
1120,40.7859,-73.9486,1,16,13,3,0.000102556
1126,40.7228,-73.957,1,36,18,18,0.000700556
1127,40.7518,-73.9482,1,12,2,10,0.000840167
1128,40.687,-73.9234,1,6,11,-5,0.000285
1129,40.7422,-73.9266,1,7,16,-9,0.000814167
1131,40.6846,-73.9093,1,1,11,-10,0.00109343
1134,40.7459,-73.8854,1,3,11,-8,0.000713792
1151,40.6972,-73.9067,1,10,12,-2,8.84167e-05
1152,40.6816,-73.9196,1,10,13,-3,0.000546111
1154,40.6882,-73.908,1,15,17,-2,0.000357167
1155,40.6462,-73.9307,1,19,14,5,0.0002626
1159,40.7523,-73.8809,1,11,13,-2,0.000240833
1161,40.7411,-73.8884,1,12,14,-2,0.000298167
1163,40.762,-73.8704,1,16,20,-4,0.000652375
1167,40.7616,-73.8817,1,17,11,6,0.000534778
1168,40.748,-73.882,1,1,10,-9,0.000770944
1173,40.7428,-73.883,1,23,10,13,0.000642487
1176,40.6708,-73.9507,1,16,15,1,0.000121667
1181,40.6685,-73.9228,1,7,11,-4,0.000154417
1184,40.7712,-73.917,1,10,2,8,0.00105312
1189,40.6906,-73.9118,1,12,10,2,0.000616667
1190,40.7671,-73.9622,1,23,5,18,0.00082213
1193,40.6435,-73.9864,1,19,17,2,0.000832167
1195,40.7547,-73.8918,1,6,15,-9,0.000785426
1198,40.7688,-73.9584,1,30,25,5,0.000118
1200,40.7003,-73.9503,1,22,1,21,0.00109265
1206,40.7371,-73.8561,1,15,19,-4,0.000749417
1207,40.743,-73.9356,1,19,11,8,0.00068875
1210,40.713,-73.9097,1,13,17,-4,0.000420875
1217,40.7405,-73.8565,1,11,17,-6,0.00202983
1218,40.7505,-73.9459,1,10,5,5,0.000967
1219,40.7447,-73.9354,1,30,7,23,0.000933188
1220,40.7575,-73.9016,1,9,12,-3,0.000273611
1224,40.6895,-73.9421,1,13,11,2,0.000445833
1225,40.7589,-73.8908,1,11,17,-6,0.000814278
1235,40.7587,-73.8753,1,9,18,-9,0.000918463
1236,40.7516,-73.915,1,18,0,18,0.00128444
1237,40.7642,-73.8812,1,14,16,-2,0.0001435
1246,40.7509,-73.8911,1,1,9,-8,0.00080375
1249,40.6971,-73.9157,1,3,14,-11,0.00085947
1261,40.648,-73.9318,1,25,6,19,0.000357939
1263,40.756,-73.8827,1,15,19,-4,0.000652208
1267,40.7067,-73.9612,1,9,2,7,0.00058319
1272,40.7457,-73.9819,1,10,6,4,0.000810417
1278,40.7212,-73.9418,1,12,16,-4,0.00055125
1281,40.7573,-73.9536,1,9,2,7,0.000746905
1282,40.7446,-73.906,1,17,11,6,0.000630889
1287,40.7601,-73.8974,1,14,11,3,0.000270333
1288,40.6999,-73.9117,1,0,5,-5,0.00322233
1291,40.738,-73.861,1,11,21,-10,0.000647517
1293,40.7408,-73.8498,1,12,22,-10,0.0036437
1294,40.7125,-73.941,1,27,23,4,0.0009625
1296,40.7456,-73.8882,1,8,7,1,0.000113333
1302,40.7677,-73.879,1,22,5,17,-0.00101907
1304,40.7386,-73.8855,1,17,1,16,0.000976177
1305,40.755,-73.8728,1,4,22,-18,0.000832
1306,40.6634,-73.9347,1,23,21,2,0.0003555
1312,40.7569,-73.9262,1,12,12,0,0
1313,40.6491,-73.9437,1,20,19,1,0.000230333
1315,40.7489,-73.8998,1,6,21,-15,0.00132628
1318,40.7501,-73.9135,1,10,1,9,0.00106444
1319,40.7673,-73.9939,1,30,13,17,0.000475098
1321,40.648,-73.9793,1,17,15,2,7.41667e-05
1324,40.6976,-73.931,1,10,10,0,0
1334,40.6832,-73.9117,1,5,16,-11,0.000736682
1335,40.7484,-73.8751,1,0,9,-9,0.000834463
1338,40.7621,-73.895,1,14,2,12,0.000753292
1346,40.6715,-73.9143,1,15,1,14,0.000998536
1348,40.7657,-73.8701,1,21,10,11,0.000473045
1349,40.7726,-73.9327,1,13,4,9,0.000428481
1350,40.7662,-73.8756,1,22,8,14,0.00084431
1354,40.7645,-73.8737,1,17,9,8,0.000311688
1357,40.7381,-73.881,1,19,8,11,0.000704455
1370,40.674,-73.9671,1,6,3,3,0.000376111
1374,40.7878,-73.9536,1,6,4,2,0.000396667
1376,40.6615,-73.9397,1,18,9,9,0.000772981
1377,40.6467,-73.9664,1,16,13,3,0.000319833
1379,40.6956,-73.8993,1,6,18,-12,0.000861847
1380,40.7107,-73.9052,1,3,15,-12,0.000744556
1381,40.7207,-73.9863,1,39,37,2,0.000171667
1382,40.698,-73.9708,1,18,12,6,0.000562778
1384,40.7403,-73.9289,1,5,11,-6,0.000269083
1385,40.7274,-73.9938,1,15,10,5,0.00108533
